,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$53K-$91K (Glassdoor est.),"Data Scientist
Location: Albuquerque, NM
Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.
Skills Required:
Bachelor’s Degree in relevant field, e.g., math, data analysis, database, computer science, Artificial Intelligence (AI); three years’ experience credit for Master’s degree; five years’ experience credit for a Ph.D
Applicant should be proficient in the use of Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, Excel, and working knowledge of MS Access, LMS, SAS, data visualization tools, and have a strong algorithmic aptitude
Excellent verbal and written communication skills, and quantitative analytical skills are required
Applicant must be able to work in a team environment
U.S. citizenship and ability to obtain a DoD Secret Clearance required
Responsibilities: The applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.
Benefits:
We offer competitive salaries commensurate with education and experience. We have an excellent benefits package that includes:
Comprehensive health, dental, life, long and short term disability insurance
100% Company funded Retirement Plans
Generous vacation, holiday and sick pay plans
Tuition assistance

Benefits are provided to employees regularly working a minimum of 30 hours per week.

Tecolote Research is a private, employee-owned corporation where people are our primary resource. Our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. Apply now to connect with a company that invests in you.",3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),-1
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),"What You Will Do:

I. General Summary

The Healthcare Data Scientist position will join our Advanced Analytics group at the University of Maryland Medical System (UMMS) in support of its strategic priority to become a data-driven and outcomes-oriented organization. The successful candidate will have 3+ years of experience with Machine Learning, Predictive Modeling, Statistical Analysis, Mathematical Optimization, Algorithm Development and a passion for working with healthcare data. Previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects is essential. This position will report to the UMMS Vice President for Enterprise Data and Analytics (ED&A).

II. Principal Responsibilities and Tasks

• Develops predictive and prescriptive analytic models in support of the organization’s clinical, operations and business initiatives and priorities.
• Deploys solutions so that they provide actionable insights to the organization and are embedded or integrated with application systems
• Supports and drives analytic efforts designed around organization’s strategic priorities and clinical/business problems
• Works in a team to drive disruptive innovation, which may translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies and process improvements.
• Builds and extends our analytics portfolio supported by robust documentation
• Works with autonomy to find solutions to complex problems using open source tools and in-house development
• Stays abreast of state-of-the-art literature in the fields of operations research, statistical modeling, statistical process control and mathematical optimization
• Creates, communicates, and manages the project plans and other required project documentation and provides updates to leadership as necessary
• Develops and maintains relationships with business, IT and clinical leaders and stakeholders across the enterprise to facilitate collaboration and effective communication
• Works with the analytics team and clinical/business stakeholders to develop pilots so that they may be tested and validated in pilot settings
• Performs analysis to evaluate primary and secondary objectives from such pilots
• Assists leadership with strategies for scaling successful projects across the organization and enhances the analytics applications based on feedback from end-users and clinical/business consumers
• Assists leadership with dissemination of success stories (and failures) in an effort to increase analytics literacy and adoption across the organization.

What You Need to Be Successful:

III. Education and Experience

• Master’s or higher degree (may be substituted by relevant work experience) in applied mathematics, physics, computer science, engineering, statistics or a related field
• 3+ years of Mathematical Optimization, Machine Learning, Predictive Analytics and Algorithm Development experience (experience with tools such as WEKA, RapidMiner, R. Python or other open source tools strongly desired)
• Strong development skills in two or more of the following: C/C++, C#, Python, Java
• Combining analytic methods with advanced data visualizations
• Expert ability to breakdown and clearly define problems
• Experience with Natural Language Processing preferred

IV. Knowledge, Skills and Abilities

• Proven communications skills – Effective at working independently and in collaboration with other staff members. Capable of clearly presenting findings orally, in writing, or through graphics.
• Proven analytical skills – Able to compare, contrast, and validate work with keen attention to detail. Skilled in working with “real world” data including scrubbing, transformation, and imputation.
• Proven problem solving skills – Able to plan work, set clear direction, and coordinate own tasks in a fast-paced multidisciplinary environment. Expert at triaging issues, identifying data anomalies, and debugging software.
• Design and prototype new application functionality for our products.
• Change oriented – actively generates process improvements; supports and drives change, and confronts difficult circumstances in creative ways
• Effective communicator and change agent
• Ability to prioritize the tasks of the project timeline to achieve the desired results
• Strong analytic and problem solving skills
• Ability to cooperatively and effectively work with people from various organization levels

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
2,Data Scientist,$80K-$90K (Glassdoor est.),"KnowBe4, Inc. is a high growth information security company. We are the world's largest provider of new-school security awareness training and simulated phishing. KnowBe4 was created to help organizations manage the ongoing problem of social engineering. Tens of thousands of organizations worldwide use KnowBe4's platform to mobilize their end users as a last line of defense and enable them to make better security decisions, every day.

We are ranked #1 best place to work in technology nationwide by Fortune Magazine and have placed #1 or #2 in The Tampa Bay Top Workplaces Survey for the last four years. We also just had our 27th record-setting quarter in a row!

The Data Scientist will work closely with the VP of FP&A and the Quantitative Analytics Manager to implement advanced analytical models and other data-driven solutions.

Responsibilities:
Work with key stakeholders throughout the organization to identify opportunities using financial data to develop business solutions.
Develop new and enhance existing data collection procedures to ensure that all data relevant for analyses is captured.
Cleanse, consolidate, and verify the integrity of data used in analyses.
Build and validate predictive models to increase customer retention, revenue generation, and other business outcomes.
Develop relevant statistical models to assist with profitability forecasting
Create the analytics to leverage known, inferred and appended information about origins and recognizing patterns to assist in outlook forecasting
Assist in the design and data modeling of data warehouse.
Visualize data, especially in reports and dashboards, to communicate analysis results to stakeholders.
Extend data collection to unstructured data within the company and external sources
Mine and collect data (both structured and unstructured) to detect patterns, opportunities and insights that drive our organization
Create and execute automation and data mining requests utilizing SQL, Access, Excel, SAS and other statistical programs
Trouble shoot forecast and optimization anomalies with FP&A team through the use of statistical and mathematical optimization models. Develop testing to explain and or reduce these anomalies.
Oversee and develop key metric forecasts as well as provide budget support based on trends in the business/industry.
Minimum Qualifications:
Master's degree in Statistics, Computer Science, Mathematics or other quantitative discipline required
2-3 years of experience in similar role (Master's Degree)
0-2 years of experience in similar role (PhD)
Experience leveraging predictive modeling, big data analytics, exploratory data analysis and machine learning to drive significant business impact
Experience with statistical computer languages (Python, R etc.) to manipulate and analyze large datasets preferred.
Experience with data visualization tools like D3.js, matplotlib, etc., preferred
Exceptional understanding of machine learning algorithms such as Random Forest, SVM, k-NN, Naïve Bayes, Gradient Boosting a plus.
Applied statistical skills including statistical testing, regression, etc.
Experience with data bases, query languages, and associated data architecture.
Experience with distributed computing tools (Hive, Spark, etc.) is a plus.
Strong analytical skills and ability to meet project deadlines.
Note: An applicant assessment, background check and drug test may be part of your hiring procedure.

No recruitment agencies, please.",4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1
3,Data Scientist,$56K-$97K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310709

Directorate: Earth & Biological Sciences

Division: Biological Sciences

Group: Exposure Science Team
*Job Description**
The Biological System Science (BSS) Group in the Biological Sciences Division of the Pacific Northwest National Laboratory (PNNL) is seeking a staff scientist with multidisciplinary experience in computational chemistry, cheminformatics, advanced statistics and/or machine learning/deep learning/AI. Preferred candidates will have a broad understanding of the state of computational metabolomics and experience in designing and implementing novel deep learning networks for chemistry applications. Research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification is also highly valued. Successful candidates will join a large, uniquely collaborative, collegial group of innovators driving the integration of data science, computational science and analytical chemistry to solve the nations most challenging problems in human health, chemical forensics, and national security. The BSS Group is diverse and inclusive, working closely with colleagues across the laboratory with expertise in computational biology, integrative omics, applied mathematics, computer science, and statistics.

+ Apply knowledge of statistics, machine learning, advanced mathematics, simulation, software development, and data modeling to to design, development and implement methods that integrate, clean and analyze data, recognize patterns, address uncertainty, pose questions, and make discoveries from structured and/or unstructured data.

+ Produce solutions driven by exploratory data analysis from complex and high-dimensional datasets.

+ Design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from data.

+ Develop and maintain existing deep learning networks that generate novel molecules for drug discovery applications

+ Contribue or author proposals, peer-reviewed papers, and other technical products.
*Minimum Qualifications**
BS/BA with 0-1 years of experience or MS/MA with 0-1 years of experience
*Preferred Qualifications**
+ MS in chemical engineering, computer science, or related field with a GPA of 3.5+ 5+ years of research experience

+ Intermediate level programming experience (preferably Python) and high-performance computing experience

+ At least one first author published, or proof of submitted, paper applying deep learning for use in novel compound generation

+ Understanding of the NMDA receptor and potential drug targets

+ Research experience in drug design, cheminformatics, deep learning, machine learning and/or small molecule identification
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
_Directorate:_ _Earth & Biological Sciences_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Biological Systems Science_

_Opening Date:_ _2020-03-26_

_Closing Date:_ _2020-04-05_",3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
4,Data Scientist,$86K-$143K (Glassdoor est.),"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
5,Data Scientist,$71K-$119K (Glassdoor est.),"CyrusOne is seeking a talented Data Scientist who holds a range of data-focused skills both in technical and analytical domains. The ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. This role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.

Duties and Responsibilities:
Participate in an agile scrum cadence
Process, cleanse, and verify the integrity of data used for analysis
Perform functional business requirements analysis and data analysis
Develop data models and algorithms to apply to data sets
Augment data collection procedures to include necessary information for building accurate analytics
Collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions
Evaluate the effectiveness and accuracy of data sources and data gathering techniques
Gather critical information from meetings with various stakeholders and produce useful reports
Coordinate with cross-functional teams to implement models and monitor outcomes
Develop automated discrepancy detection systems and distribute reconciliation reports to stakeholders
Requirements:
Must be legally authorized to work in the United States for any employer without sponsorship
Professional experience using statistical software languages like R, Python, and SQL to query, manipulate, and draw insights from data sets
Strong problem-solving skills with an emphasis on product development
Extensive experience with Microsoft SQL, MySQL and MongoDB
Understanding of version control (git) and project management with Azure DevOps
Knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Experience visualizing data for stakeholders using visualization tools such as Power BI
Experience working with and creating data architectures
Understanding and adherence to agile principles and practices
Ability to work on problems of any scope where the analysis of situations or data requires a review of a variety of factors
Self-maintainability and reliability with minimal supervision
Excellent interpersonal communication, decision making, presentation, and organizational skills
Ability to build productive internal/external working relationships
Harmonious with CyrusOne culture, core values, and business goals
Minimum Qualifications:
2+ years of related experience in a data analyst role
Strong can-do attitude in a time sensitive environment
Other important information about this position:
This position requires typical weekday (Monday - Friday) attendance in an office setting, at times after hours work may be required to meet business and customer needs
Every position requires certain physical capabilities. CyrusOne seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible
CyrusOne is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.

CyrusOne provides reasonable accommodation for qualified individuals with disabilities in accordance with the Americans with Disabilities Act (ADA) and any other state or local laws. We will respond to requests for reasonable accommodations to assist you in applying for positions at CyrusOne, or to submit a resume. If you need to request an accommodation, please contact our Human Resources at 214.488.1365 (Option 7) or by email at HR@cyrusone.com.",3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix"
6,Data Scientist,$54K-$93K (Glassdoor est.),"Job Description

**Please only local candidates apply - thank you**

ClearOne Advantage is a fast-growing company that is aggressively hiring due to increased business. We are always improving our marketing, culture and technology to provide our employees with the best work atmosphere and our customers with excellent customer service. COA’s proprietary software is tailored to our industry and allows the client to receive the best service possible.

We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.

If you are looking to work in a team environment, a place where you are more a name than a number, where you interact with leadership daily, then please send your resume for review!

Perks:
Great location, right on the water in the Canton Crossing Tower
Casual work environment and WFH flexibility
Room for advancement
What you'll be doing:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams",4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
7,Data Scientist,$86K-$142K (Glassdoor est.),"Advanced Analytics – Lead Data Scientist
Overview


We are looking for a Data Scientist to join our Data Science team to work on interesting projects to help our clients make data driven solutions. As a Data Scientist, you’ll work closely with the clients to understand their business needs, frame them as statistical problems, and solve them with cutting edge techniques. Collaborate with your team, including machine learning engineers, data engineers, analysts, and TPMs to define tasks, provide estimates, and work together to deliver a world class solution. The ideal candidate will have the balance of technical skills and business acumen to help the client better understand their core needs while understanding technical limitations.

About you…
Experience partnering & communicating with executive management team to understand business needs and pain points
Ability to communicate data science concepts to business stakeholders
Passion for the application of machine learning to real world problems
Adept at developing and iterating solutions rapidly
Ability to lead development of data science solutions
What we offer our consultants:

Experience working with both large enterprise clients and mid-sized clients
Progressive responsibilities that encourage ownership and design
Opportunity to learn and gain experience in complimentary skills such as meeting facilitation, data management, project management, data modeling, and data management
Company Culture that celebrates “Foster the culture of we”, “Act with integrity” and “Drive towards excellence” while having fun at work
Training and certification opportunities to support your career now and after Logic20/20
Various opportunities to give back to the community through company sponsored events
Required Qualifications
Experience building machine learning models using Python
Experience deploying machine learning models in a production environment
Strong knowledge of probability statistics
Experience with Tensorflow or PyTorch
Experience writing SQL to query databases, structure and modify data
Demonstrated ability to frame business problems as statistical problems and solve them
Ability to work both independently and as part of a team
Experience working in ambiguous and dynamic environments that move quickly
An undergraduate degree in mathematics, computer science, or engineering is preferred
Preferred Qualifications
Passion and experience driving adoption of machine learning in industry
Experience deploying machine learning on large scales through Spark or other big data technology
Experience building systems in AWS
Experience in computer vision with deep neural networks
Experience with leading workshops with executives to drive requirements gathering
Masters or PhD in data science or related field

About Logic20/20. . .


Logic20/20 is one of Seattle’s fastest growing full-service consulting firms. Our core competency is creating simplicity and efficiency in complex solutions. Although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. Our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.

The past four years, we’ve been in the top 10 “Best Companies to Work For” ….. why? Our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. Our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. We have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.",3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
8,Research Scientist,$38K-$84K (Glassdoor est.),"SUMMARY

The Research Scientist I will be tasked with oversight of research in the Division of Cancer Biology Research at the Rochester General Hospital Research Institute.

A strong background in Molecular Biology or Cancer Biology Research is preferred. Mouse models will be used in the research.

STATUS: Full Time

LOCATION: RGH Research Institute

DEPARTMENT: Cancer Biology

SCHEDULE: Monday-Friday; Days

ATTRIBUTES
MD or PhD who is not self supporting of their own salary nor has their own research program
Functions with minimal direction from Research Scientist II, Senior Research Scientist or Laboratory Director.
Strong analytical, computer, leadership and problem-solving skills
RESPONSIBILITIES
Conducts research projects including complex experiments, some in parallel, utilizing current concepts and recognized standard techniques, developing new protocols as necessary
Demonstrates a high level of initiative in performing experiments, analyzing data and drawing conclusions regarding progress and results of work.
Maintains a familiarity with current and emerging technologies through reading and understanding scientific and technical literature resulting in a broadening understanding of disciplines outside area of training and enabling the use of new and improved procedures in the laboratory.
Duties are performed with an understanding of drug discovery in area of specialization.
EDUCATION PhD; MD Rochester Regional Health is an Equal Opportunity / Affirmative Action Employer. Minority/Female/Disability/Veteran",3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+ employees,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1
9,Data Scientist,$120K-$160K (Glassdoor est.),"isn’t your usual company. Our work is powered by the premise that every person at is unique, possessing a distinct set of skills, personality, and passions. We embrace our collective talents to tackle technical challenges, refine our successfully disruptive business ideas, and co-create one of the most human and inspiring work cultures out there. We are a team of collaborators, valuing and rewarding shared success over individual heroics.
As a member of our Data Science team, you will use your quantitative expertise to identify new areas of research and optimization, and then see those ideas through to production. Data Science is a fundamental contributor to Intent’s success - your work will have a direct and tangible impact on the business.
There are no typical projects, but a workflow might involve performing research and analysis against petabytes of historical data using our collection of large-scale analytics tools like Spark, Snowflake, and RedShift, building prototypes using mostly Scala or another functional language, pairing with engineers on the Modeling and Prediction team to harden and deploy the functionality, and running live tests to monitor the results.
All of these steps take place in an environment of respect and collaboration, and the Data Science team is empowered to own its agile processes. Every member of the team is expected to be both a student and teacher, and we believe that the most effective Data Science team is one that is collectively learning and growing. Experience in coaching and mentoring colleagues at all levels is strongly desired. As part of the Data Science team, you’d help build out a real-time predictive analytics platform that makes decisions for some of the largest sites on the web.
About You:
Significant industry experience in several of the following areas: personalized experiences, big data analytics, implementing machine learning & statistical methods, designing and running A/B tests, product design and life cycle, writing production code, designing online auctions.
Experience in user experience customization a plus
Experience coaching and mentoring team members
Experience writing production software in languages like Scala, Clojure, Java, Python, or C++ in an agile, collaborative environment
Experience with handling large amounts of data (TB+) in a production setting
Experience with Spark is a significant plus
Experience in ad-tech a plus
About Us:
is the data science company for the world’s leading online commerce and travel brands. Our Predictive Intelligence Platform uses patented technology to predict user behavior in real-time and identify the future value of every user. Over 450 innovative brands from more than 40 countries trust Intent’s real-time predictions to deliver personalized user experiences that maximize utility and ROI.
Our team is over 100 people and our offices span globally. We’re headquartered in NYC with locations in London, Kuala Lumpur, and Sao Paulo.
Every day, we’re inspired by two pursuits. First, we’re building novel products that are upending e-commerce. Second, we’re building the company we’ve always wanted to work for — one that’s open, human and collaborative, where very smart people come together to share ideas and get things done. We’re included on Built in NYC's Best Places to Work list and have been on Crain’s 100 Best Places to Work in NYC list for seven years running.
Love Your Job!
Our employees enjoy coming to work, and we let them know they're valued.
Our vibrant team accomplishes a lot every day, but we insist upon work/life balance so things never become stale. We don’t take ourselves too seriously, but we take our work very seriously.
We believe that in order for our employees to perform their best, they need access to strategic decisions, and so our flat structure and open communication invite innovation from all levels — ideas flow freely.
We offer competitive compensation, stock options, and great perks & benefits, including:
Unlimited vacation
A generous parental leave policy
A beautiful, dog-friendly office in SoHo with drinks and snacks
An open environment with lots of natural light and roof deck access
Annual $2,000 learning budget and Citi Bike membership
Access to Fond, our employee perks program featuring deals and discounts on hundreds of products and services
Access to Sherpaa, a telehealth service with 24/7
In-office yoga classes
Company-wide social events, and more!
So what are you waiting for? Apply with your resume in just a few clicks!
About Us
Our Products
Our Dogs
Twitter
Instagram",4.6,"<intent>
4.6","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel"
